Badge.JediMaster.Desc,Avoir 50 messages ou plus acceptés comme solution
Badge.Photogenic.Name,Photogénique
Badge.Photogenic.Desc,Des petites choses comme mettre une photo de profil rendent cet endroit plus sympa. Merci !
Badge.FavouriteFirstPost.Name,Premier favori
Badge.FavouriteFirstPost.Desc,Vous avez mis en favori votre premier post
Badge.YourPostFavouritedTenTimes.Name,Posts favoris
Badge.YourPostFavouritedTenTimes.Desc,Un ou plusieurs de vos posts ont été mis en favoris par 10 personnes ou plus
Badge.YourPostFavourited.Name,Post favori
Badge.YourPostFavourited.Desc,Vous avez un ou plusieurs posts qui ont été mis en favoris par un autre membre
Site.MvcForum,MvcForum
Layout.Nav.Utilities,Utilitaires
Side.Search.SearchFor,Rechercher au sujet de...
Side.Search.Go,Aller
Topic.IsSticky,Sujet persistant
Topic.IsSolved,Question résolue
Topic.Category,Catégorie
Topic.IsPoll,Sondage
Topic.LastPost,Dernier post
Topic.HotTopics,Questions les plus discutées
Notifications.NoActiveMembers,Actuellement personne n'est en ligne
Post.LikedBy,Aimé par
Post.Browse,Parcourir...
Post.AttachedFiles,Fichiers joints
SubNav.Latest,Les toutes dernières questions
SubNav.Following,Suivi
SubNav.PostedIn,Vos posts
SubNav.Favourites,Mes favoris
Favourites.PageTitle,Mes favoris
Favourites.NoMemberFavourites,Vous n'avez mis aucun message en favoris
Following.PageTitle,Questions & Catégories
Following.Categories,Catégories que vous suivez
SubscribedCats.NothingToShow,Vous ne suivez aucune catégorie
Following.Topics,Questions que vous suivez
SubscribedTopics.NothingToShow,Vous ne suivez aucune question
PostedIn.PageTitle,Questions & Posts auxquels vous avez participé
Topic.Label.Tags,Ajouter une étiquette
Topic.Label.UploadFiles,Envoyer les fichiers
Search.Searching,Recherche en cours
Search.InTopic,Dans les questions
Members.SrubAndBan,Membre scrub
Confirmation.SrubAndBan,Êtes-vous sûr de vouloir faire cela ? Ceci supprimera tous leurs posts et les bannira
Admin,Admin
Members.SuccessfulSrub,Tout est fait
Post.Favourite,Favori
Post.Favourited,En favoris
Members.NowBanned,Le membre est désormais banni
Members.NowUnBanned,Le membre n’est maintenant plus banni
PM.AboutToExceedInboxSizeBody,Vous êtes sur le point de dépasser la capacité maximale de votre boîte de réception des messages privés
PM.AboutToExceedInboxSizeSubject,Capacité de la boîte de réception des messages privés
PM.NewPrivateMessage,Nouveau message privé
PM.LastActivity,Dernière activité
StopWord.Error,Vous avez essayé d’entrer un mot ou une url qui n’est pas autorisé sur ce site
Post.Permalink,Lien permanent
Members.Profile.LastOnline,Dernier connecté
Members.UnableToGetEmailAddress,Impossible d’accéder à votre adresse e-mail - s’il vous plaît vérifiez vos autorisations
Members.ResetPassword.Title,Demande de réinitialisation de mot de passe envoyée
Members.ResetPassword.Text,Un email vous a été envoyé pour réinitialiser votre mot de passe.
Members.ResetPassword.EmailText,Une demande a été faite pour réinitialiser votre mot de passe sur {0}. Pour réinitialiser votre mot de passe suivez le lien ci-dessous. Si vous n’avez pas fait cette demande, s’il vous plaît ignorez ce message. Aucune action n’est requise et votre mot de passe ne sera pas modifié.
Members.ResetPassword.SuccessText,Votre mot de passe a été changé.
Members.ResetPassword.InvalidToken,Cette demande est pas valide ou a expiré. S’il vous plaît refaîtes une demande de réinitialisation de mot de passe.
Members.ResetPassword.Error,Il y a eu une erreur lors de la réinitialisation de votre mot de passe. S’il vous plaît essayez à nouveau.
Tasks.MarkAsSolutionReminderJob.EmailBody,Votre question {0} sur {1} a {2} réponse(s) mais n’a toujours pas été marquée comme résolue. Veuillez vérifier de nouveau pour voir s'il n'y a pas une réponse appropriée et la marquer comme étant la solution à votre question.
Tasks.MarkAsSolutionReminderJob.Subject,Votre post sur {0}
